V1	V2
GB47823	GO:0005515;GO:0005887;GO:0005920;GO:0007166;GO:0016021;GO:0016327;GO:0061028;GO:0090528;GO:0090557;GO:0090557
GB47822	GO:0003700;GO:0006355;GO:0007411;GO:0016602;GO:0043565;GO:0046982;GO:0003887;GO:0005634;GO:0006974;GO:0046982;GO:0046982
GB42835	GO:0005737;GO:0005980;GO:0008184;GO:0008340;GO:0030170;GO:0042803;GO:0043234;GO:0045819;GO:0045824;GO:0050829;GO:0060361;GO:0060361
GB42834	GO:0003674;GO:0005575;GO:0005789;GO:0008150;GO:0012505;GO:0016021;GO:0002121;GO:0005737;GO:0005783;GO:0005789;GO:0005790;GO:0005811;GO:0005829;GO:0007029;GO:0012505;GO:0016021;GO:0030424;GO:0042048;GO:0045169;GO:1990809;GO:0003674;GO:0005575;GO:0005789;GO:0008150;GO:0012505;GO:0016021;GO:0016021
GB42837	GO:0000790;GO:0007064;GO:0008080;GO:0016407;GO:0016573;GO:0046872;GO:0046872
GB42836	GO:0005829;GO:0008039;GO:0016936;GO:0030246;GO:0030246;GO:0030246
GB45287	GO:0000228;GO:0000705;GO:0005634;GO:0005654;GO:0005700;GO:0005730;GO:0007552;GO:0010629;GO:0016321;GO:0090235;GO:0090235
GB42838	GO:0000381;GO:0000398;GO:0003723;GO:0003729;GO:0005634;GO:0005654;GO:0046579;GO:0070374;GO:0071011;GO:0071013;GO:0071013
GB45285	GO:0003743;GO:0004843;GO:0005852;GO:0006413;GO:0016579;GO:0031369;GO:0071541;GO:0003743;GO:0004843;GO:0005852;GO:0006413;GO:0016579;GO:0031369;GO:0035071;GO:0045747;GO:0048102;GO:0071541;GO:0071541
GB45284	GO:0002161;GO:0004818;GO:0004832;GO:0005524;GO:0005737;GO:0006438;GO:0007602;GO:0022008;GO:0045494;GO:0002161;GO:0004832;GO:0005524;GO:0005739;GO:0006438;GO:0006438
GB45283	GO:0008745;GO:0009253;GO:0016021;GO:0016021
